time,elevator_0,elevator_1,elevator_2
0,1,1,1
1,2,1,1
2,3,1,1
3,4,1,1
4,5,1,1
5,6,1,1
6,7,1,1
7,8,1,1
8,9,1,1
9,10,1,1
10,11,1,1
11,12,2,1
12,13,3,1
13,14,4,1
14,15,5,1
15,16,6,1
16,17,7,1
17,18,8,1
18,19,9,1
19,20,10,1
20,21,11,1
21,22,12,1
22,23,13,1
23,24,14,1
24,25,15,1
25,26,16,1
26,27,17,1
27,28,18,1
28,29,19,1
29,30,20,1
30,31,19,1
31,32,18,1
32,33,17,1
33,34,16,1
34,35,15,1
35,36,14,1
36,37,13,1
37,38,12,1
38,39,11,1
39,40,10,1
40,41,9,1
41,42,8,1
42,43,7,1
43,44,6,1
44,45,5,1
45,46,4,1
46,47,3,1
47,48,2,1
48,49,1,1
49,50,1,1
50,51,1,1
